Table KS17 Cars or Vans*
Table population: All households
Geographical level: Output Area 

,"All households","Percentage of households with cars or vans None","Percentage of households with cars or vans One","Percentage of households with cars or vans Two","Percentage of households with cars or vans Three","Percentage of households with cars or vans Four or more","Total number of cars or vans in the area"
"60QA000471",78,65.38,33.33,1.28,-,-,28
"60QA000472",53,66.04,32.08,1.89,-,-,19
"60QA000473",43,60.47,34.88,2.33,2.33,-,20
"60QA000474",45,53.33,37.78,6.67,2.22,-,26
"60QA000475",77,85.71,12.99,1.30,-,-,12
"60QA000476",78,62.82,29.49,5.13,2.56,-,37
"60QA000477",54,59.26,31.48,1.85,5.56,1.85,34
"60QA000478",63,53.97,41.27,3.17,-,1.59,34
"60QA000479",78,35.90,55.13,7.69,1.28,-,58
"60QA000480",55,36.36,58.18,5.45,-,-,38
"60QA000481",75,52.00,40.00,8.00,-,-,42
"60QA000482",40,30.00,62.50,7.50,-,-,31
"60QA000483",67,61.19,38.81,-,-,-,26
"60QA000484",90,74.44,23.33,2.22,-,-,25
"60QA000485",39,30.77,58.97,7.69,2.56,-,32
"60QA000486",38,50.00,47.37,2.63,-,-,20
"60QA000487",59,52.54,35.59,8.47,3.39,-,37
"60QA000488",54,51.85,37.04,11.11,-,-,32
"60QA000489",40,55.00,40.00,5.00,-,-,20
"60QA000490",39,38.46,51.28,10.26,-,-,28
"60QA000491",46,43.48,43.48,13.04,-,-,32
"60QA000492",45,44.44,48.89,6.67,-,-,28
"60QA000493",42,66.67,28.57,2.38,2.38,-,17
"60QA000494",40,67.50,30.00,2.50,-,-,14
"60QA000495",75,61.33,38.67,-,-,-,29
"60QA000496",59,74.58,25.42,-,-,-,15
"60QA000497",66,56.06,34.85,7.58,1.52,-,36
"60QA000498",71,32.39,60.56,5.63,1.41,-,54
"60QA000499",74,54.05,36.49,9.46,-,-,41
"60QA000500",60,38.33,48.33,8.33,5.00,-,48
"60QA000501",47,74.47,23.40,2.13,-,-,13
"60QA000502",36,63.89,27.78,8.33,-,-,16
"60QA000503",56,64.29,35.71,-,-,-,20
"60QA000504",42,66.67,28.57,4.76,-,-,16
"60QA000505",45,64.44,31.11,-,2.22,2.22,21
"60QA000506",76,31.58,52.63,14.47,1.32,-,65
"60QA000507",60,46.67,45.00,8.33,-,-,37
"60QA000508",38,65.79,28.95,2.63,-,2.63,17
"60QA000509",46,54.35,36.96,6.52,2.17,-,26
"60QA000510",68,64.71,33.82,1.47,-,-,25
"60QA000511",62,54.84,33.87,9.68,1.61,-,36
"60QA000512",52,90.38,9.62,-,-,-,5
"60QA000513",54,90.74,9.26,-,-,-,5
"60QA000514",50,84.00,16.00,-,-,-,8
"60QA000515",47,61.70,29.79,8.51,-,-,22
"60QA000516",55,63.64,29.09,3.64,3.64,-,26
"60QA000517",52,61.54,30.77,7.69,-,-,24
"60QA000518",52,73.08,21.15,3.85,1.92,-,18
"60QA000519",66,60.61,34.85,4.55,-,-,29
"60QA000520",59,54.24,33.90,10.17,1.69,-,35
"60QA000521",35,57.14,40.00,2.86,-,-,16
"60QA000522",53,47.17,35.85,7.55,3.77,5.66,47
"60QA000523",61,54.10,32.79,11.48,-,1.64,39
"60QA000524",52,75.00,21.15,3.85,-,-,15
"60QA000525",106,56.60,38.68,4.72,-,-,51
"60QA000526",52,11.54,50.00,32.69,5.77,-,69
"60QA000527",42,23.81,33.33,38.10,4.76,-,52
"60QA000528",66,36.36,46.97,15.15,1.52,-,54
"60QA000529",53,13.21,49.06,30.19,5.66,1.89,71
"60QA000530",47,44.68,42.55,8.51,4.26,-,34
"60QA000531",54,51.85,35.19,9.26,1.85,1.85,36
"60QA000532",39,43.59,35.90,17.95,2.56,-,31
"60QA000533",73,72.60,26.03,1.37,-,-,21
"60QA000534",73,83.56,12.33,4.11,-,-,15
"60QA000535",64,46.88,39.06,14.06,-,-,43
"60QA000536",57,29.82,59.65,10.53,-,-,46
"60QA000537",74,48.65,41.89,6.76,2.70,-,47
"60QA000538",56,41.07,50.00,7.14,1.79,-,39
"60QA000539",38,60.53,34.21,5.26,-,-,17
"60QA000540",64,46.88,45.31,6.25,1.56,-,40
"60QA000541",43,58.14,25.58,13.95,2.33,-,26
"60QA000542",64,54.69,34.38,9.38,1.56,-,37
"60QA000543",39,48.72,48.72,2.56,-,-,21
"60QA000544",37,51.35,35.14,8.11,2.70,2.70,27
"60QA000545",44,50.00,43.18,6.82,-,-,25
"60QA000546",43,46.51,41.86,11.63,-,-,28
"60QA000547",41,51.22,41.46,7.32,-,-,23
"60QA000548",83,9.64,75.90,13.25,1.20,-,88
"60QA000549",54,64.81,33.33,1.85,-,-,20
"60QA000550",36,75.00,19.44,5.56,-,-,11
"60QA000551",53,86.79,13.21,-,-,-,7
"60QA000552",46,54.35,39.13,6.52,-,-,24
"60QA000553",73,50.68,46.58,1.37,-,1.37,40
"60QA000554",76,57.89,35.53,6.58,-,-,37
"60QA000555",62,51.61,46.77,-,-,1.61,33
"60QA000556",49,53.06,38.78,8.16,-,-,27
"60QA000557",60,75.00,21.67,3.33,-,-,17
"60QA000558",30,23.33,53.33,23.33,-,-,30
"60QA000559",35,11.43,71.43,11.43,5.71,-,39
"60QA000560",38,57.89,36.84,5.26,-,-,18
"60QA000561",67,40.30,46.27,5.97,5.97,1.49,57
"60QA000562",47,38.30,40.43,17.02,4.26,-,41
"60QA000563",80,50.00,43.75,6.25,-,-,45
"60QA000564",36,19.44,44.44,33.33,2.78,-,43
"60QA000565",68,41.18,47.06,8.82,1.47,1.47,51
"60QA000566",61,42.62,40.98,14.75,-,1.64,50
"60QA000567",41,36.59,58.54,4.88,-,-,28
"60QA000568",60,46.67,45.00,8.33,-,-,37
"60QA000569",43,39.53,48.84,11.63,-,-,31
"60QA000570",43,30.23,67.44,2.33,-,-,31
"60QA000571",71,46.48,39.44,12.68,1.41,-,49
"60QA000572",71,45.07,46.48,8.45,-,-,45
"60QA000573",50,64.00,30.00,6.00,-,-,21
"60QA000574",55,54.55,36.36,9.09,-,-,30
"60QA000575",73,78.08,20.55,1.37,-,-,17
"60QA000576",73,71.23,21.92,4.11,1.37,1.37,29
"60QA000577",58,39.66,44.83,10.34,1.72,3.45,49
"60QA000578",42,28.57,47.62,16.67,4.76,2.38,44
"60QA000579",45,48.89,33.33,11.11,6.67,-,34
"60QA000580",44,50.00,40.91,9.09,-,-,26
"60QA000581",37,24.32,54.05,16.22,5.41,-,38
"60QA000582",53,22.64,41.51,33.96,1.89,-,61
"60QA000583",49,65.31,32.65,2.04,-,-,18
"60QA000584",36,77.78,16.67,2.78,2.78,-,11
"60QA000585",42,57.14,30.95,9.52,-,2.38,26
"60QA000586",31,67.74,22.58,9.68,-,-,13
"60QA000587",36,61.11,27.78,11.11,-,-,18
"60QA000588",51,78.43,19.61,-,1.96,-,13
"60QA000589",47,87.23,8.51,4.26,-,-,8
"60QA000590",43,79.07,16.28,4.65,-,-,11
"60QA000591",39,43.59,41.03,10.26,5.13,-,30
"60QA000592",60,66.67,21.67,8.33,3.33,-,29
"60QA000593",44,15.91,43.18,31.82,9.09,-,59
"60QA000594",41,24.39,51.22,24.39,-,-,41
"60QA000595",51,27.45,54.90,15.69,1.96,-,47
"60QA000596",41,53.66,46.34,-,-,-,19
"60QA000597",40,75.00,22.50,2.50,-,-,11
"60QA000598",53,45.28,47.17,5.66,-,1.89,35
"60QA000599",73,46.58,42.47,9.59,-,1.37,49
"60QA000600",48,25.00,52.08,20.83,-,2.08,50
"60QA000601",28,64.29,35.71,-,-,-,10
"60QA000602",29,79.31,17.24,3.45,-,-,7
"60QA000603",36,61.11,36.11,2.78,-,-,15
"60QA000604",31,67.74,32.26,-,-,-,10
"60QA000605",27,55.56,44.44,-,-,-,12
"60QA000606",49,69.39,26.53,2.04,2.04,-,18
"60QA000607",36,55.56,30.56,11.11,2.78,-,22
"60QA000608",56,73.21,25.00,1.79,-,-,16
"60QA000609",44,68.18,25.00,6.82,-,-,17
"60QA000610",33,63.64,24.24,6.06,6.06,-,18
"60QA000611",98,66.33,26.53,5.10,2.04,-,42
"60QA000612",76,60.53,36.84,2.63,-,-,32
"60QA000613",49,51.02,42.86,6.12,-,-,27
"60QA000614",80,82.50,16.25,-,1.25,-,16
"60QA000615",40,60.00,35.00,5.00,-,-,18
"60QA000616",59,71.19,27.12,1.69,-,-,18
"60QA000617",45,62.22,31.11,4.44,2.22,-,21
"60QA000618",33,39.39,45.45,9.09,6.06,-,27
"60QA000619",61,57.38,40.98,1.64,-,-,27
"60QA000620",53,56.60,33.96,9.43,-,-,28
"60QA000621",55,58.18,38.18,3.64,-,-,25
"60QA000622",47,72.34,25.53,2.13,-,-,14
"60QA000623",49,67.35,32.65,-,-,-,16
"60QA000624",53,77.36,20.75,1.89,-,-,13
"60QA000625",38,71.05,21.05,2.63,5.26,-,16
"60QA000626",51,80.39,19.61,-,-,-,10
"60QA000627",45,42.22,55.56,2.22,-,-,27
"60QA000628",51,39.22,47.06,9.80,3.92,-,40
"60QA000629",80,31.25,43.75,16.25,5.00,3.75,89
"60QA000630",68,33.82,38.24,22.06,4.41,1.47,69
"60QA000631",44,63.64,36.36,-,-,-,16
"60QA000632",61,45.90,47.54,4.92,1.64,-,38
"60QA000633",52,78.85,15.38,3.85,1.92,-,15
"60QA000634",72,62.50,30.56,6.94,-,-,32
"60QA000635",43,76.74,16.28,6.98,-,-,13
"60QA000636",72,56.94,31.94,6.94,4.17,-,42
"60QA000637",77,37.66,41.56,15.58,3.90,1.30,69
"60QA000638",53,18.87,50.94,24.53,3.77,1.89,64
"60QA000639",79,39.24,53.16,6.33,1.27,-,55
"60QA000640",59,54.24,40.68,5.08,-,-,30
"60QA000641",64,31.25,54.69,12.50,1.56,-,54
"60QA000642",40,57.50,35.00,7.50,-,-,20
"60QA000643",36,52.78,44.44,2.78,-,-,18
"60QA000644",63,50.79,34.92,14.29,-,-,40
"60QA000645",65,60.00,36.92,3.08,-,-,28
"60QA000646",67,65.67,28.36,5.97,-,-,27
"60QA000647",80,63.75,35.00,1.25,-,-,30
"60QA000648",49,34.69,59.18,6.12,-,-,35
"60QA000649",50,24.00,60.00,10.00,4.00,2.00,52
"60QA000650",51,47.06,50.98,-,1.96,-,29
"60QA000651",61,27.87,54.10,13.11,4.92,-,58
"60QA000652",63,30.16,49.21,14.29,4.76,1.59,62
"60QA000653",51,19.61,54.90,21.57,3.92,-,56
"60QA000654",43,48.84,51.16,-,-,-,22
"60QA000655",39,28.21,58.97,7.69,-,5.13,38
"60QA000656",74,45.95,40.54,10.81,2.70,-,52
"60QA000657",32,21.88,34.38,31.25,3.13,9.38,46
"60QA000658",80,42.50,46.25,8.75,-,2.50,61
"60QA000659",50,46.00,34.00,14.00,4.00,2.00,41
"60QA000660",68,54.41,32.35,11.76,-,1.47,42
"60QA000661",78,66.67,29.49,2.56,1.28,-,30
"60QA000662",45,62.22,33.33,4.44,-,-,19
"60QA000663",70,40.00,55.71,2.86,1.43,-,46
"60QA000664",45,66.67,26.67,4.44,2.22,-,19
"60QA000665",69,36.23,55.07,8.70,-,-,50
"60QA000666",26,69.23,19.23,7.69,3.85,-,12
"60QA000667",48,79.17,18.75,2.08,-,-,11
"60QA000668",64,68.75,29.69,1.56,-,-,21
"60QA000669",65,61.54,35.38,3.08,-,-,27
"60QA000670",46,52.17,41.30,6.52,-,-,25
"60QA000671",85,68.24,30.59,1.18,-,-,28
"60QA000672",91,73.63,23.08,3.30,-,-,27
"60QA000673",52,59.62,32.69,7.69,-,-,25
"60QA000674",42,66.67,33.33,-,-,-,14
"60QA000675",44,45.45,47.73,6.82,-,-,27
"60QA000676",32,40.63,43.75,9.38,3.13,3.13,27
"60QA000677",56,62.50,30.36,5.36,1.79,-,26
"60QA000678",77,67.53,28.57,3.90,-,-,28
"60QA000679",48,31.25,47.92,20.83,-,-,43
"60QA000680",27,44.44,44.44,7.41,-,3.70,20
"60QA000681",42,28.57,61.90,9.52,-,-,34
"60QA000682",44,45.45,45.45,9.09,-,-,28
"60QA000683",65,52.31,36.92,6.15,4.62,-,41
"60QA000684",25,32.00,48.00,16.00,4.00,-,23
"60QA000685",40,50.00,42.50,7.50,-,-,23
"60QA000686",57,42.11,49.12,8.77,-,-,38
"60QA000687",45,46.67,44.44,8.89,-,-,28
"60QA000688",70,15.71,61.43,17.14,2.86,2.86,81
"60QA000689",69,50.72,42.03,7.25,-,-,39
"60QA000690",26,30.77,34.62,30.77,3.85,-,28
"60QA000691",29,20.69,55.17,17.24,6.90,-,32
"60QA000692",52,19.23,55.77,23.08,-,1.92,57
"60QA000693",46,10.87,65.22,19.57,2.17,2.17,56
"60QA000694",40,35.00,37.50,25.00,2.50,-,38
"60QA000695",52,23.08,51.92,21.15,1.92,1.92,56
"60QA000696",45,24.44,60.00,15.56,-,-,41
"60QA000697",28,25.00,60.71,14.29,-,-,25
"60QA000698",55,7.27,40.00,45.45,5.45,1.82,86
"60QA000699",41,9.76,29.27,56.10,4.88,-,64
"60QA000700",42,4.76,30.95,50.00,14.29,-,73
"60QA000701",53,11.32,41.51,45.28,1.89,-,73
"60QA000702",63,63.49,30.16,4.76,1.59,-,28
"60QA000703",40,45.00,47.50,7.50,-,-,25
"60QA000704",41,7.32,36.59,46.34,7.32,2.44,66
"60QA000705",75,45.33,42.67,8.00,2.67,1.33,56
"60QA000706",69,36.23,49.28,11.59,2.90,-,56
"60QA000707",49,12.24,55.10,22.45,6.12,4.08,66
"60QA000708",48,4.17,47.92,41.67,4.17,2.08,79
"60QA000709",59,15.25,33.90,47.46,1.69,1.69,83
"60QA000710",40,7.50,52.50,37.50,-,2.50,55
"60QA000711",57,54.39,36.84,5.26,3.51,-,33
"60QA000712",53,35.85,32.08,22.64,7.55,1.89,57
"60QA000713",61,14.75,45.90,32.79,4.92,1.64,81
"60QA000714",74,5.41,58.11,29.73,5.41,1.35,104
"60QA000715",63,11.11,36.51,49.21,3.17,-,91
"60QA000716",68,16.18,60.29,22.06,1.47,-,74
"60QA000717",49,26.53,51.02,18.37,4.08,-,49
"60QA000718",35,14.29,51.43,31.43,2.86,-,43
"60QA000719",42,19.05,59.52,19.05,2.38,-,44
"60QA000720",53,13.21,50.94,30.19,3.77,1.89,69
"60QA000721",53,24.53,58.49,15.09,-,1.89,51
"60QA000722",49,24.49,48.98,22.45,2.04,2.04,53
"60QA000723",76,26.32,53.95,13.16,5.26,1.32,77
"60QA000724",57,36.84,54.39,7.02,1.75,-,42
"60QA000725",50,10.00,38.00,48.00,2.00,2.00,74
"60QA000726",79,44.30,27.85,25.32,2.53,-,68
"60QA000727",55,30.91,50.91,16.36,1.82,-,49
"60QA000728",50,46.00,40.00,10.00,4.00,-,36
"60QA000729",44,27.27,63.64,6.82,-,2.27,39
"60QA000730",56,30.36,62.50,7.14,-,-,43
"60QA000731",52,32.69,61.54,5.77,-,-,38
"60QA000732",76,11.84,61.84,21.05,3.95,1.32,92
"60QA000733",66,6.06,43.94,43.94,4.55,1.52,100
"60QA000734",53,5.66,37.74,45.28,7.55,3.77,89
"60QA000735",56,5.36,26.79,58.93,8.93,-,96
"60QA000736",45,13.33,53.33,24.44,8.89,-,58
"60QA000737",55,7.27,43.64,41.82,7.27,-,82
"60QA000738",75,13.33,46.67,38.67,1.33,-,96
"60QA000739",45,13.33,44.44,40.00,2.22,-,59
"60QA000740",46,4.35,54.35,36.96,4.35,-,65
"60QA000741",64,29.69,40.63,23.44,4.69,1.56,69
"60QA000742",42,11.90,40.48,40.48,7.14,-,60
"60QA000743",39,7.69,35.90,48.72,7.69,-,61
"60QA000744",53,9.43,49.06,39.62,-,1.89,72
"60QA000745",49,24.49,40.82,32.65,2.04,-,55
"60QA000746",28,10.71,46.43,32.14,3.57,7.14,42
"60QA000747",35,8.57,80.00,11.43,-,-,36
"60QA000748",64,26.56,64.06,6.25,3.13,-,55
"60QA000749",54,18.52,51.85,25.93,3.70,-,62
"60QA000750",74,14.86,47.30,31.08,5.41,1.35,97
"60QA000751",56,28.57,53.57,16.07,1.79,-,51
"60QA000752",23,4.35,26.09,65.22,4.35,-,39
"60QA000753",65,23.08,64.62,10.77,1.54,-,59
"60QA000754",63,15.87,49.21,31.75,3.17,-,77
"60QA000755",57,14.04,56.14,24.56,5.26,-,69
"60QA000756",56,17.86,44.64,33.93,3.57,-,69
"60QA000757",64,42.19,48.44,9.38,-,-,43
"60QA000758",45,42.22,55.56,2.22,-,-,27
"60QA000759",36,30.56,52.78,13.89,2.78,-,32
"60QA000760",33,18.18,75.76,6.06,-,-,29
"60QA000761",53,35.85,49.06,15.09,-,-,42
"60QA000762",68,44.12,50.00,5.88,-,-,42
"60QA000763",70,42.86,50.00,5.71,-,1.43,47
"60QA000764",80,42.50,47.50,8.75,1.25,-,55
"60QA000765",51,39.22,50.98,9.80,-,-,36
"60QA000766",65,38.46,53.85,6.15,-,1.54,47
"60QA000767",69,49.28,44.93,4.35,-,1.45,43
"60QA000768",59,50.85,45.76,1.69,1.69,-,32
"60QA000769",69,47.83,43.48,5.80,2.90,-,44
"60QA000770",37,70.27,29.73,-,-,-,11
"60QA000771",55,67.27,30.91,1.82,-,-,19
"60QA000772",65,55.38,38.46,6.15,-,-,33
"60QA000773",60,41.67,48.33,10.00,-,-,41
"60QA000774",60,85.00,13.33,1.67,-,-,10
"60QA000775",49,42.86,51.02,6.12,-,-,31
"60QA000776",57,75.44,22.81,1.75,-,-,15
"60QA000777",38,68.42,28.95,2.63,-,-,13
"60QA000778",53,50.94,41.51,5.66,1.89,-,31
"60QA000779",43,62.79,30.23,4.65,-,2.33,21
"60QA000780",71,56.34,36.62,4.23,2.82,-,38
"60QA000781",116,55.17,37.93,5.17,1.72,-,62
"60QA000782",34,58.82,35.29,5.88,-,-,16
"60QA000783",40,40.00,50.00,10.00,-,-,28
"60QA000784",76,36.84,47.37,11.84,1.32,2.63,71
"60QA000785",59,32.20,54.24,11.86,1.69,-,49
"60QA000786",70,42.86,41.43,14.29,1.43,-,52
"60QA000787",64,34.38,56.25,7.81,1.56,-,49
"60QA000788",58,39.66,58.62,1.72,-,-,36
"60QA000789",73,26.03,56.16,13.70,4.11,-,70
"60QA000790",70,28.57,60.00,11.43,-,-,58
"60QA000791",58,67.24,27.59,1.72,1.72,1.72,25
"60QA000792",72,33.33,55.56,9.72,1.39,-,57
"60QA000793",40,40.00,42.50,15.00,2.50,-,32
"60QA000794",60,35.00,46.67,11.67,6.67,-,54
"60QA000795",39,41.03,46.15,12.82,-,-,28
"60QA000796",50,48.00,40.00,12.00,-,-,32
"60QA000797",46,58.70,34.78,4.35,2.17,-,23
"60QA000798",39,33.33,51.28,15.38,-,-,32
"60QA000799",61,78.69,21.31,-,-,-,13
"60QA000800",30,36.67,53.33,3.33,6.67,-,24
"60QA000801",45,51.11,37.78,11.11,-,-,27
"60QA000802",47,29.79,53.19,14.89,-,2.13,43
"60QA000803",62,25.81,54.84,17.74,1.61,-,59
"60QA000804",48,64.58,27.08,4.17,4.17,-,23
"60QA000805",40,20.00,52.50,22.50,5.00,-,45
"60QA000806",50,40.00,48.00,12.00,-,-,36
"60QA000807",59,47.46,38.98,13.56,-,-,39
"60QA000808",37,32.43,54.05,10.81,2.70,-,31
"60QA000809",73,34.25,49.32,13.70,2.74,-,62
"60QA000810",52,50.00,40.38,9.62,-,-,31
"60QA000811",48,35.42,50.00,10.42,4.17,-,40
"60QA000812",43,32.56,48.84,13.95,4.65,-,39
"60QA000813",42,47.62,42.86,9.52,-,-,26
"60QA000814",67,44.78,44.78,8.96,1.49,-,45
"60QA000815",70,34.29,44.29,20.00,1.43,-,62
"60QA000816",52,28.85,61.54,9.62,-,-,42
"60QA000817",46,23.91,56.52,17.39,2.17,-,45
"60QA000818",41,26.83,53.66,19.51,-,-,38
"60QA000819",51,35.29,45.10,15.69,1.96,1.96,46
"60QA000820",51,23.53,50.98,21.57,3.92,-,54
"60QA000821",39,35.90,51.28,12.82,-,-,30
"60QA000822",66,33.33,53.03,12.12,1.52,-,54
"60QA000823",40,37.50,47.50,12.50,2.50,-,32
"60QA000824",43,34.88,39.53,23.26,2.33,-,40
"60QA000825",70,31.43,50.00,12.86,5.71,-,65
"60QA000826",66,46.97,42.42,9.09,-,1.52,44
"60QA000827",69,46.38,47.83,4.35,1.45,-,42
"60QA000828",35,20.00,62.86,17.14,-,-,34
"60QA000829",37,45.95,37.84,10.81,2.70,2.70,29
"60QA000830",47,48.94,40.43,8.51,2.13,-,30
"60QA000831",39,38.46,38.46,17.95,2.56,2.56,36
"60QA000832",49,44.90,36.73,12.24,2.04,4.08,41
"60QA000833",52,51.92,38.46,7.69,1.92,-,31
"60QA000834",55,20.00,63.64,14.55,1.82,-,54
"60QA000835",35,45.71,40.00,11.43,2.86,-,25
"60QA000836",76,23.68,51.32,21.05,3.95,-,80
"60QA000837",58,29.31,48.28,18.97,3.45,-,56
"60QA000838",62,66.13,25.81,8.06,-,-,26
"60QA000839",39,33.33,51.28,7.69,7.69,-,35
"60QA000840",71,67.61,26.76,4.23,1.41,-,28
"60QA000841",65,60.00,36.92,3.08,-,-,28
"60QA000842",69,71.01,28.99,-,-,-,20
"60QA000843",72,58.33,37.50,4.17,-,-,33
"60QA000844",75,41.33,45.33,12.00,1.33,-,55
"60QA000845",55,50.91,40.00,5.45,1.82,1.82,35
"60QA000846",39,15.38,64.10,20.51,-,-,41
"60QA000847",43,62.79,23.26,13.95,-,-,22
"60QA000848",43,37.21,44.19,18.60,-,-,35
"60QA000849",48,60.42,37.50,2.08,-,-,20
"60QA000850",67,55.22,35.82,7.46,1.49,-,37
"60QA000851",62,8.06,58.06,32.26,1.61,-,79
"60QA000852",75,41.33,41.33,14.67,2.67,-,59
"60QA000853",61,39.34,50.82,9.84,-,-,43
"60QA000854",50,56.00,42.00,2.00,-,-,23
"60QA000855",50,50.00,44.00,6.00,-,-,28
"60QA000856",45,71.11,26.67,2.22,-,-,14
"60QA000857",38,47.37,47.37,2.63,2.63,-,23
"60QA000858",32,62.50,34.38,3.13,-,-,13
"60QA000859",49,32.65,53.06,14.29,-,-,40
"60QA000860",64,57.81,35.94,6.25,-,-,31
"60QA000861",59,37.29,54.24,6.78,1.69,-,43
"60QA000862",67,25.37,56.72,13.43,4.48,-,65
"60QA000863",69,53.62,43.48,-,2.90,-,36
"60QA000864",68,38.24,45.59,11.76,4.41,-,56
"60QA000865",51,27.45,49.02,17.65,5.88,-,52
"60QA000866",44,25.00,50.00,22.73,-,2.27,48
"60QA000867",51,66.67,27.45,5.88,-,-,20
"60QA000868",61,34.43,49.18,11.48,4.92,-,53
"60QA000869",67,10.45,65.67,23.88,-,-,76
"60QA000870",78,29.49,57.69,7.69,5.13,-,69
"60QA000871",49,10.20,42.86,36.73,4.08,6.12,75
"60QA000872",44,4.55,70.45,25.00,-,-,53
"60QA000873",39,7.69,46.15,33.33,12.82,-,59
"60QA000874",74,60.81,36.49,2.70,-,-,31
"60QA000875",59,44.07,37.29,18.64,-,-,44
"60QA000876",52,53.85,40.38,5.77,-,-,27
"60QA000877",39,56.41,33.33,10.26,-,-,21
"60QA000878",50,74.00,22.00,4.00,-,-,15
"60QA000879",59,33.90,54.24,10.17,1.69,-,47
"60QA000880",67,56.72,31.34,11.94,-,-,37
"60QA000881",64,40.63,43.75,15.63,-,-,48
"60QA000882",41,41.46,51.22,7.32,-,-,27
"60QA000883",45,62.22,31.11,6.67,-,-,20
"60QA000884",67,49.25,44.78,5.97,-,-,38
"60QA000885",71,43.66,50.70,4.23,1.41,-,45
"60QA000886",52,11.54,55.77,25.00,7.69,-,67
"60QA000887",47,6.38,42.55,48.94,2.13,-,69
"60QA000888",40,7.50,47.50,40.00,2.50,2.50,58
"60QA000889",73,13.70,60.27,20.55,4.11,1.37,87
"60QA000890",68,14.71,52.94,25.00,7.35,-,85
"60QA000891",44,29.55,59.09,9.09,2.27,-,37
"60QA000892",51,9.80,45.10,39.22,5.88,-,72
"60QA000893",41,17.07,75.61,7.32,-,-,37
"60QA000894",49,10.20,48.98,34.69,4.08,2.04,69
"60QA000895",28,7.14,53.57,32.14,3.57,3.57,40
"60QA000896",77,28.57,59.74,9.09,2.60,-,66
"60QA000897",67,35.82,43.28,14.93,5.97,-,61
"60QA000898",70,55.71,32.86,8.57,2.86,-,41
"60QA000899",48,37.50,45.83,14.58,2.08,-,39
"60QA000900",38,34.21,60.53,5.26,-,-,27
"60QA000901",39,5.13,51.28,33.33,10.26,-,58
"60QA000902",62,64.52,29.03,6.45,-,-,26
"60QA000903",47,29.79,53.19,17.02,-,-,41
"60QA000904",44,9.09,72.73,13.64,2.27,2.27,51
"60QA000905",60,50.00,43.33,6.67,-,-,34
"60QA000906",42,42.86,45.24,11.90,-,-,29
"60QA000907",41,39.02,53.66,2.44,4.88,-,30
"60QA000908",42,40.48,40.48,14.29,2.38,2.38,37
"60QA000909",40,50.00,47.50,2.50,-,-,21
"60QA000910",48,54.17,35.42,10.42,-,-,27
"60QA000911",49,40.82,44.90,10.20,2.04,2.04,39
"60QA000912",44,22.73,63.64,13.64,-,-,40
"60QA000913",52,32.69,50.00,15.38,1.92,-,45
"60QA000914",52,28.85,67.31,3.85,-,-,39
"60QA000915",45,57.78,35.56,4.44,-,2.22,26
"60QA000916",46,41.30,47.83,6.52,4.35,-,34
"60QA000917",50,28.00,48.00,20.00,4.00,-,50
"60QA000918",42,47.62,42.86,9.52,-,-,26
"60QA000919",37,48.65,45.95,5.41,-,-,21
"60QA000920",62,62.90,33.87,3.23,-,-,25
"60QA000921",44,63.64,29.55,6.82,-,-,19
"60QA000922",39,53.85,30.77,10.26,5.13,-,26
"60QA000923",59,52.54,38.98,6.78,-,1.69,36
"60QA000924",67,41.79,46.27,11.94,-,-,47
"60QA000925",54,50.00,46.30,3.70,-,-,29
"60QA000926",49,32.65,63.27,2.04,2.04,-,36
"60QA000927",37,56.76,32.43,10.81,-,-,20
"60QA000928",45,40.00,40.00,17.78,2.22,-,37
"60QA000929",50,68.00,28.00,2.00,2.00,-,19
"60QA000930",60,51.67,40.00,8.33,-,-,34
"60QA000931",38,42.11,36.84,15.79,5.26,-,32
"60QA000932",67,22.39,67.16,10.45,-,-,59
"60QA000933",59,47.46,40.68,11.86,-,-,38
"60QA000934",54,42.59,40.74,16.67,-,-,40
"60QA000935",47,46.81,36.17,8.51,8.51,-,37
"60QA000936",60,36.67,40.00,16.67,6.67,-,56
"60QA000937",39,51.28,35.90,10.26,2.56,-,25
"60QA000938",67,35.82,52.24,10.45,1.49,-,52
"60QA000939",71,21.13,54.93,22.54,1.41,-,74
"60QA000940",46,73.91,26.09,-,-,-,12
"60QA000941",44,25.00,50.00,22.73,2.27,-,45
"60QA000942",43,18.60,55.81,16.28,6.98,2.33,51
"60QA000943",57,35.09,50.88,12.28,1.75,-,46
"60QA000944",37,27.03,45.95,18.92,8.11,-,40
"60QA000945",45,28.89,48.89,20.00,2.22,-,43
"60QA000946",56,62.50,37.50,-,-,-,21
"60QA000947",50,58.00,38.00,4.00,-,-,23
"60QA000948",71,76.06,19.72,4.23,-,-,20
"60QA000949",68,26.47,58.82,11.76,2.94,-,62
"60QA000950",67,40.30,41.79,14.93,1.49,1.49,57
"60QA000951",56,35.71,46.43,16.07,1.79,-,47
"60QA000952",41,41.46,48.78,7.32,2.44,-,29
"60QA000953",46,34.78,47.83,17.39,-,-,38
"60QA000954",42,23.81,71.43,2.38,2.38,-,35
"60QA000955",75,41.33,44.00,10.67,2.67,1.33,60
"60QA000956",43,30.23,55.81,11.63,2.33,-,37
"60QA000957",47,44.68,42.55,8.51,2.13,2.13,35
"60QA000958",47,29.79,55.32,14.89,-,-,40
"60QA000959",54,33.33,44.44,16.67,5.56,-,51
"60QA000960",49,28.57,53.06,14.29,2.04,2.04,47
